gender,age,education,hours_per_week,native_country,loan_approved
female,33,Some-college,40,United-States,rejected
male,45,HS-grad,50,United-States,approved
male,59,Some-college,40,United-States,approved
female,39,Some-college,40,United-States,rejected
male,49,Assoc-acdm,60,United-States,approved
male,39,HS-grad,40,United-States,approved
male,64,Prof-school,40,United-States,approved
male,25,HS-grad,40,United-States,rejected
female,49,Masters,70,United-States,rejected
female,37,HS-grad,60,United-States,rejected
female,46,Bachelors,25,United-States,approved
female,59,HS-grad,40,United-States,rejected
female,37,HS-grad,40,United-States,rejected
male,25,Bachelors,60,United-States,approved
female,29,Bachelors,45,United-States,rejected
female,61,HS-grad,40,United-States,rejected
male,47,HS-grad,55,United-States,rejected
male,32,Bachelors,48,United-States,approved
male,33,HS-grad,45,United-States,approved
female,65,Some-college,45,United-States,rejected
female,40,Some-college,40,United-States,rejected
male,24,HS-grad,48,United-States,rejected
female,21,HS-grad,40,United-States,rejected
male,29,Some-college,60,United-States,rejected
male,43,Some-college,40,United-States,approved
male,46,HS-grad,40,United-States,rejected
male,21,HS-grad,40,United-States,rejected
male,39,HS-grad,60,United-States,approved
male,59,HS-grad,40,United-States,rejected
male,46,HS-grad,48,United-States,approved
male,47,Prof-school,40,United-States,rejected
male,27,HS-grad,38,United-States,approved
female,29,Some-college,40,United-States,rejected
male,63,Assoc-voc,40,United-States,rejected
male,28,Bachelors,40,United-States,rejected
female,31,Assoc-acdm,32,United-States,rejected
male,29,HS-grad,40,United-States,rejected
male,21,HS-grad,24,United-States,rejected
male,37,Assoc-acdm,50,United-States,rejected
male,35,HS-grad,50,United-States,rejected
female,47,HS-grad,40,United-States,rejected
female,46,Masters,45,United-States,rejected
male,37,Bachelors,50,United-States,approved
male,43,Some-college,40,United-States,rejected
male,23,HS-grad,40,United-States,rejected
male,35,Some-college,40,United-States,rejected
female,34,Masters,50,United-States,rejected
female,55,Assoc-voc,20,United-States,rejected
male,37,Assoc-acdm,68,United-States,rejected
male,59,9th,40,United-States,rejected
female,49,Assoc-voc,44,United-States,rejected
female,36,Bachelors,32,United-States,approved
male,61,9th,40,United-States,rejected
male,44,Masters,38,United-States,approved
male,46,Some-college,42,United-States,rejected
female,30,HS-grad,30,United-States,rejected
male,37,HS-grad,40,Guatemala,rejected
male,37,Some-college,40,United-States,approved
female,29,Bachelors,40,Japan,rejected
male,29,Doctorate,60,India,rejected
female,48,10th,48,United-States,rejected
female,56,HS-grad,40,United-States,rejected
female,24,Some-college,24,Mexico,rejected
male,48,HS-grad,40,United-States,rejected
male,33,Some-college,50,United-States,rejected
male,23,Some-college,50,United-States,rejected
female,38,Some-college,40,United-States,rejected
female,46,HS-grad,40,Columbia,rejected
male,59,Bachelors,60,United-States,rejected
female,43,HS-grad,20,United-States,approved
male,38,11th,40,United-States,approved
male,28,HS-grad,50,United-States,rejected
female,19,Some-college,15,United-States,rejected
male,22,HS-grad,45,Canada,rejected
male,45,Bachelors,40,United-States,approved
male,25,11th,40,United-States,rejected
female,20,Some-college,20,United-States,rejected
male,48,1st-4th,40,Portugal,rejected
female,21,Some-college,20,United-States,rejected
male,32,HS-grad,40,United-States,rejected
male,59,HS-grad,55,United-States,rejected
female,43,Some-college,40,United-States,rejected
male,49,Assoc-acdm,50,United-States,rejected
male,59,7th-8th,40,United-States,rejected
male,42,Assoc-acdm,50,United-States,approved
female,20,Some-college,30,United-States,rejected
male,26,Bachelors,40,United-States,rejected
female,36,Some-college,40,United-States,rejected
male,62,HS-grad,65,United-States,rejected
male,40,Assoc-acdm,52,United-States,rejected
male,40,Some-college,40,United-States,rejected
male,35,Some-college,38,United-States,approved
male,26,HS-grad,40,United-States,rejected
male,30,Some-college,40,United-States,approved
male,35,HS-grad,40,United-States,rejected
male,90,HS-grad,40,United-States,rejected
male,22,HS-grad,50,United-States,rejected
female,28,Masters,80,United-States,approved
female,62,Some-college,39,United-States,approved
male,41,Masters,40,United-States,rejected
female,17,11th,20,United-States,rejected
male,32,HS-grad,40,United-States,rejected
female,25,Assoc-acdm,40,United-States,rejected
female,28,12th,30,United-States,rejected
female,24,11th,40,Germany,rejected
male,50,HS-grad,40,United-States,rejected
male,48,HS-grad,40,United-States,rejected
female,19,HS-grad,25,United-States,rejected
male,53,Masters,42,United-States,approved
male,39,HS-grad,12,United-States,rejected
male,23,HS-grad,40,United-States,rejected
male,27,Some-college,40,United-States,rejected
male,60,Assoc-acdm,24,United-States,rejected
female,41,HS-grad,50,United-States,rejected
female,29,HS-grad,40,United-States,rejected
male,23,10th,40,United-States,rejected
male,35,Assoc-voc,38,Jamaica,rejected
male,37,Masters,40,South,rejected
male,45,Some-college,40,United-States,approved
female,43,HS-grad,40,United-States,rejected
male,32,10th,40,Mexico,rejected
male,67,HS-grad,40,United-States,rejected
male,34,Some-college,40,United-States,rejected
male,43,Bachelors,50,United-States,approved
male,42,Assoc-acdm,40,United-States,rejected
male,30,Some-college,40,United-States,rejected
male,43,Some-college,40,United-States,rejected
male,43,HS-grad,40,United-States,rejected
male,29,HS-grad,50,India,approved
male,43,Bachelors,24,United-States,approved
male,44,HS-grad,40,United-States,rejected
female,38,Bachelors,45,United-States,rejected
male,28,HS-grad,40,United-States,rejected
female,26,HS-grad,40,United-States,rejected
female,45,Some-college,99,United-States,rejected
male,47,Assoc-acdm,40,United-States,approved
female,32,Some-college,40,United-States,rejected
female,19,HS-grad,12,United-States,rejected
female,41,Preschool,30,United-States,rejected
male,57,Some-college,42,United-States,rejected
female,54,HS-grad,40,United-States,rejected
male,37,HS-grad,46,United-States,rejected
male,27,HS-grad,40,United-States,rejected
male,37,HS-grad,40,United-States,rejected
male,23,Some-college,40,United-States,rejected
male,53,HS-grad,32,United-States,rejected
male,55,9th,25,United-States,rejected
male,46,HS-grad,40,United-States,rejected
male,33,HS-grad,35,United-States,rejected
male,23,HS-grad,40,United-States,rejected
female,75,10th,70,United-States,rejected
male,30,Assoc-voc,40,United-States,rejected
female,54,Bachelors,35,United-States,approved
male,48,HS-grad,40,United-States,rejected
male,52,HS-grad,85,United-States,approved
female,23,Bachelors,30,United-States,rejected
female,51,Some-college,40,Ireland,rejected
male,32,HS-grad,60,United-States,rejected
male,17,10th,20,United-States,rejected
male,23,HS-grad,45,United-States,rejected
male,49,Some-college,45,United-States,approved
female,40,7th-8th,40,United-States,rejected
female,35,HS-grad,40,United-States,rejected
male,32,HS-grad,50,United-States,rejected
female,55,11th,40,United-States,rejected
female,22,Some-college,20,United-States,rejected
male,37,Bachelors,50,United-States,approved
male,34,Bachelors,55,United-States,rejected
male,39,Masters,50,United-States,approved
male,27,5th-6th,45,Mexico,rejected
male,29,HS-grad,40,United-States,rejected
male,37,11th,40,United-States,rejected
male,56,HS-grad,40,China,rejected
male,56,Bachelors,45,United-States,approved
female,46,Some-college,40,United-States,rejected
male,37,HS-grad,40,United-States,rejected
male,59,HS-grad,40,United-States,rejected
female,53,HS-grad,40,United-States,approved
male,45,Bachelors,45,United-States,approved
female,27,HS-grad,40,United-States,rejected
male,43,Some-college,84,United-States,rejected
male,42,HS-grad,40,United-States,rejected
female,34,10th,38,United-States,rejected
male,37,HS-grad,40,United-States,rejected
female,22,Bachelors,60,United-States,rejected
male,38,HS-grad,30,Mexico,rejected
male,17,9th,24,United-States,rejected
male,32,Some-college,40,United-States,rejected
female,23,Bachelors,20,United-States,rejected
female,49,Doctorate,35,United-States,approved
female,20,Some-college,10,United-States,rejected
female,44,Masters,45,United-States,rejected
female,36,HS-grad,36,United-States,rejected
female,28,Bachelors,40,United-States,rejected
male,38,Some-college,40,United-States,rejected
female,59,HS-grad,40,United-States,rejected
male,33,Assoc-voc,40,Cuba,rejected
female,51,Some-college,40,United-States,rejected
female,46,Some-college,45,United-States,rejected
male,35,HS-grad,30,United-States,rejected
male,31,Bachelors,40,United-States,rejected
male,46,Masters,35,United-States,approved
male,34,HS-grad,40,United-States,approved
male,31,HS-grad,45,United-States,rejected
female,35,Some-college,39,United-States,rejected
male,44,HS-grad,45,United-States,approved
female,35,Some-college,40,United-States,rejected
female,27,Bachelors,35,United-States,rejected
male,21,HS-grad,40,United-States,rejected
female,58,HS-grad,40,Dominican-Republic,rejected
male,37,Doctorate,99,France,approved
male,47,Prof-school,45,United-States,approved
male,28,Some-college,40,United-States,approved
female,30,Some-college,40,United-States,rejected
male,61,HS-grad,40,United-States,rejected
male,34,HS-grad,40,United-States,rejected
male,62,Bachelors,55,United-States,approved
male,38,Bachelors,55,United-States,approved
male,37,Bachelors,99,United-States,approved
male,53,Some-college,45,United-States,approved
male,36,Bachelors,50,United-States,approved
male,57,HS-grad,40,United-States,approved
female,34,HS-grad,65,United-States,rejected
female,39,Assoc-voc,50,United-States,rejected
female,23,Some-college,40,United-States,rejected
female,24,Bachelors,65,United-States,rejected
male,61,Preschool,40,China,rejected
female,38,Some-college,40,United-States,rejected
male,40,Bachelors,40,United-States,rejected
male,49,Some-college,44,United-States,rejected
female,47,HS-grad,40,United-States,approved
female,46,Bachelors,40,Philippines,rejected
male,55,9th,40,United-States,rejected
male,48,Assoc-acdm,56,United-States,approved
male,44,Some-college,40,United-States,rejected
male,40,Assoc-voc,40,United-States,rejected
male,50,Bachelors,50,United-States,approved
female,23,HS-grad,40,United-States,rejected
male,32,Assoc-voc,45,United-States,rejected
male,59,HS-grad,45,Cuba,rejected
female,17,12th,20,United-States,rejected
male,28,Masters,38,United-States,approved
male,27,Bachelors,48,United-States,rejected
male,38,10th,40,United-States,approved
female,42,Some-college,45,United-States,rejected
female,21,Some-college,25,United-States,rejected
male,28,HS-grad,50,United-States,rejected
male,34,Assoc-acdm,40,United-States,rejected
male,19,11th,30,United-States,rejected
male,56,HS-grad,60,United-States,rejected
female,24,Some-college,53,United-States,rejected
female,49,Masters,40,United-States,rejected
male,36,HS-grad,50,United-States,rejected
male,59,Some-college,40,United-States,approved
male,26,Bachelors,40,United-States,rejected
male,26,Masters,40,United-States,approved
female,31,Assoc-acdm,41,United-States,rejected
male,46,11th,40,United-States,approved
male,24,HS-grad,40,United-States,rejected
female,17,11th,5,United-States,rejected
male,58,HS-grad,40,United-States,rejected
female,26,Bachelors,40,United-States,rejected
male,53,Some-college,40,United-States,rejected
male,57,HS-grad,40,United-States,rejected
male,34,Bachelors,60,United-States,approved
male,49,Some-college,40,United-States,approved
female,33,HS-grad,35,United-States,rejected
male,38,Masters,60,United-States,approved
female,50,11th,40,United-States,rejected
male,47,Bachelors,50,United-States,rejected
female,48,Some-college,43,United-States,rejected
female,29,Masters,45,United-States,rejected
female,44,Some-college,40,United-States,rejected
female,23,Bachelors,45,United-States,rejected
male,37,Some-college,40,United-States,rejected
male,28,11th,40,United-States,rejected
male,47,HS-grad,40,United-States,approved
female,38,Bachelors,35,United-States,rejected
male,61,Some-college,40,United-States,approved
female,20,HS-grad,40,United-States,rejected
male,27,11th,40,United-States,rejected
female,21,Some-college,20,United-States,rejected
male,27,Bachelors,40,United-States,rejected
female,41,Some-college,40,Mexico,rejected
female,27,Some-college,40,United-States,rejected
female,18,12th,25,United-States,rejected
male,32,Some-college,16,United-States,rejected
female,44,Bachelors,40,United-States,approved
male,32,HS-grad,40,United-States,rejected
male,52,Bachelors,50,United-States,approved
male,40,Assoc-voc,40,United-States,rejected
female,31,HS-grad,40,United-States,rejected
male,41,HS-grad,44,United-States,approved
male,37,Bachelors,50,United-States,approved
male,47,Bachelors,40,United-States,approved
female,42,Masters,60,United-States,approved
male,42,12th,40,United-States,rejected
female,46,Assoc-acdm,27,United-States,rejected
male,42,HS-grad,35,United-States,rejected
female,17,10th,12,United-States,rejected
male,39,Some-college,40,United-States,rejected
female,74,1st-4th,15,United-States,rejected
male,30,Some-college,40,United-States,approved
male,74,HS-grad,17,United-States,rejected
male,35,Bachelors,40,United-States,approved
female,49,Some-college,32,United-States,rejected
male,28,Some-college,40,United-States,rejected
male,55,HS-grad,40,United-States,approved
male,29,HS-grad,40,United-States,rejected
male,33,HS-grad,40,Jamaica,rejected
female,50,Some-college,39,United-States,rejected
male,56,11th,40,United-States,rejected
male,45,Masters,48,United-States,approved
male,34,Bachelors,40,United-States,rejected
female,28,HS-grad,35,United-States,rejected
male,47,Doctorate,35,United-States,approved
male,27,7th-8th,40,United-States,rejected
female,44,HS-grad,40,United-States,rejected
female,27,Bachelors,45,United-States,rejected
female,35,Bachelors,40,United-States,rejected
male,49,HS-grad,40,United-States,approved
male,53,5th-6th,40,Mexico,rejected
male,42,Some-college,40,United-States,approved
male,44,10th,40,United-States,rejected
male,29,Masters,36,United-States,rejected
male,30,Bachelors,72,United-States,approved
male,17,10th,20,United-States,rejected
male,38,HS-grad,40,United-States,rejected
male,33,Some-college,40,United-States,rejected
male,51,HS-grad,40,United-States,rejected
male,43,Some-college,50,United-States,approved
male,30,HS-grad,40,United-States,approved
female,27,Bachelors,36,United-States,rejected
male,65,Bachelors,40,United-States,approved
female,58,Masters,15,United-States,rejected
male,41,HS-grad,40,Mexico,rejected
female,43,Some-college,40,United-States,rejected
male,55,Bachelors,40,United-States,rejected
male,54,HS-grad,70,United-States,rejected
female,23,Some-college,25,United-States,rejected
male,35,Some-college,60,United-States,rejected
female,46,Bachelors,70,United-States,rejected
male,45,HS-grad,40,Vietnam,rejected
male,42,7th-8th,40,United-States,rejected
male,37,Masters,60,United-States,approved
male,24,Assoc-voc,40,United-States,rejected
male,44,Bachelors,40,United-States,approved
male,32,Bachelors,50,United-States,approved
female,30,HS-grad,40,United-States,rejected
male,31,HS-grad,50,United-States,rejected
male,33,Doctorate,40,United-States,rejected
female,23,Bachelors,40,United-States,rejected
female,22,Some-college,40,United-States,rejected
male,38,HS-grad,48,United-States,approved
male,58,Masters,40,Greece,approved
male,28,Some-college,70,United-States,rejected
male,28,HS-grad,40,United-States,rejected
male,54,7th-8th,60,United-States,rejected
female,17,10th,20,United-States,rejected
male,33,HS-grad,60,United-States,rejected
male,25,HS-grad,40,United-States,rejected
male,63,Masters,50,United-States,approved
female,46,9th,40,United-States,rejected
female,50,Assoc-acdm,40,United-States,approved
male,37,Prof-school,50,United-States,approved
male,42,Masters,80,United-States,approved
male,25,HS-grad,65,United-States,rejected
male,39,Masters,50,United-States,approved
female,19,HS-grad,30,United-States,rejected
male,19,HS-grad,32,United-States,rejected
male,40,Some-college,40,United-States,rejected
male,57,HS-grad,50,United-States,rejected
female,28,HS-grad,40,Guatemala,rejected
male,47,Bachelors,50,United-States,rejected
male,51,HS-grad,45,United-States,approved
female,25,Some-college,40,United-States,rejected
male,45,HS-grad,40,United-States,rejected
male,28,9th,42,United-States,rejected
male,38,Bachelors,40,United-States,rejected
female,26,11th,15,United-States,rejected
male,51,Some-college,40,United-States,approved
male,49,Some-college,60,United-States,rejected
male,38,Bachelors,44,United-States,rejected
male,50,HS-grad,40,United-States,approved
female,51,10th,24,United-States,rejected
male,29,HS-grad,40,United-States,rejected
male,34,Bachelors,45,United-States,approved
male,26,10th,40,United-States,rejected
male,20,Some-college,15,United-States,rejected
female,40,Some-college,40,United-States,rejected
female,20,Some-college,40,United-States,rejected
male,44,HS-grad,65,United-States,approved
male,46,HS-grad,40,United-States,rejected
female,48,11th,40,United-States,rejected
male,30,Bachelors,80,United-States,rejected
male,42,Some-college,72,United-States,approved
male,47,HS-grad,40,Mexico,rejected
male,57,5th-6th,45,Mexico,rejected
male,21,Some-college,40,United-States,rejected
female,35,Some-college,40,United-States,rejected
male,77,Bachelors,50,United-States,approved
male,35,9th,50,United-States,rejected
female,32,10th,40,United-States,rejected
male,36,Bachelors,60,United-States,rejected
male,29,HS-grad,40,United-States,rejected
female,23,Some-college,20,United-States,rejected
male,20,Some-college,20,United-States,rejected
male,49,HS-grad,40,United-States,approved
male,33,HS-grad,45,United-States,rejected
male,28,Some-college,50,United-States,rejected
male,34,Some-college,50,United-States,approved
male,38,HS-grad,48,United-States,approved
male,32,Some-college,40,United-States,approved
female,29,Bachelors,46,United-States,approved
female,56,HS-grad,40,United-States,rejected
male,43,Some-college,50,United-States,rejected
male,32,Bachelors,45,United-States,approved
female,55,Bachelors,60,United-States,rejected
male,43,HS-grad,40,United-States,rejected
male,40,Masters,46,United-States,approved
female,62,HS-grad,35,United-States,rejected
male,41,Some-college,40,United-States,approved
male,53,Bachelors,60,United-States,approved
male,33,HS-grad,16,United-States,rejected
male,33,12th,32,United-States,rejected
male,36,Assoc-voc,60,United-States,rejected
female,27,Assoc-voc,35,United-States,rejected
female,40,Assoc-voc,60,United-States,rejected
male,48,HS-grad,40,Dominican-Republic,rejected
male,56,Doctorate,70,United-States,approved
male,44,Some-college,60,United-States,approved
male,62,Some-college,25,United-States,rejected
male,54,Some-college,40,United-States,rejected
female,50,1st-4th,40,United-States,rejected
male,49,HS-grad,40,United-States,rejected
male,43,HS-grad,40,United-States,rejected
male,62,7th-8th,10,United-States,rejected
male,25,1st-4th,24,Mexico,rejected
female,29,Masters,50,United-States,rejected
female,23,Some-college,8,United-States,rejected
male,34,HS-grad,55,United-States,rejected
male,34,Some-college,40,Jamaica,approved
male,33,Doctorate,50,United-States,approved
female,25,Bachelors,40,United-States,rejected
female,25,Assoc-acdm,40,United-States,rejected
male,30,Some-college,60,United-States,approved
female,17,10th,5,United-States,rejected
male,64,5th-6th,70,Canada,rejected
male,49,Some-college,40,United-States,rejected
male,46,Some-college,24,United-States,rejected
male,43,HS-grad,40,United-States,rejected
male,32,12th,40,Mexico,rejected
female,37,HS-grad,20,United-States,rejected
male,32,Assoc-acdm,42,United-States,approved
male,54,Bachelors,35,United-States,approved
male,39,Bachelors,40,United-States,approved
male,51,HS-grad,40,United-States,approved
male,31,Some-college,40,United-States,approved
female,26,Some-college,40,United-States,rejected
female,33,Some-college,40,United-States,rejected
male,29,Bachelors,40,United-States,rejected
male,17,11th,30,United-States,rejected
male,41,Bachelors,40,United-States,approved
male,41,HS-grad,40,United-States,rejected
male,46,5th-6th,40,United-States,rejected
female,19,Some-college,25,United-States,rejected
female,38,Bachelors,40,United-States,approved
male,63,7th-8th,60,United-States,approved
male,39,10th,40,United-States,rejected
male,44,HS-grad,45,United-States,rejected
male,37,HS-grad,40,United-States,rejected
male,44,HS-grad,70,Jamaica,rejected
male,47,Prof-school,50,United-States,approved
male,56,Bachelors,40,United-States,rejected
male,67,Bachelors,75,United-States,approved
male,37,Bachelors,40,Philippines,approved
male,43,11th,40,United-States,rejected
male,29,HS-grad,40,United-States,approved
male,29,HS-grad,40,United-States,rejected
male,40,Bachelors,32,United-States,approved
male,28,HS-grad,60,United-States,rejected
male,38,11th,40,United-States,rejected
male,45,Bachelors,40,United-States,rejected
male,32,HS-grad,48,United-States,rejected
male,22,Some-college,30,United-States,rejected
male,49,7th-8th,35,United-States,rejected
male,45,HS-grad,50,United-States,approved
male,37,Bachelors,60,United-States,approved
male,30,Assoc-voc,49,United-States,rejected
male,27,Assoc-voc,40,United-States,rejected
male,50,Some-college,40,United-States,approved
female,39,Some-college,40,United-States,rejected
male,54,Bachelors,45,United-States,approved
female,47,Bachelors,40,United-States,rejected
male,47,HS-grad,40,United-States,approved
male,26,Bachelors,25,United-States,rejected
female,47,HS-grad,46,United-States,rejected
male,50,Bachelors,45,Italy,approved
male,28,Bachelors,50,United-States,approved
female,43,Bachelors,42,United-States,rejected
male,47,Bachelors,50,United-States,approved
female,46,Some-college,40,United-States,rejected
male,39,Masters,45,United-States,approved
male,26,Some-college,45,United-States,rejected
male,45,HS-grad,48,United-States,rejected
male,25,Some-college,40,United-States,rejected
female,19,Some-college,35,United-States,rejected
female,18,HS-grad,10,United-States,rejected
male,24,Bachelors,40,United-States,rejected
female,56,HS-grad,40,United-States,approved
male,35,Bachelors,65,United-States,rejected
male,33,7th-8th,45,Mexico,rejected
male,41,Prof-school,50,United-States,approved
female,28,Some-college,40,United-States,rejected
male,25,HS-grad,35,United-States,rejected
female,54,HS-grad,40,United-States,rejected
male,58,HS-grad,40,United-States,rejected
female,19,HS-grad,35,United-States,rejected
male,48,10th,40,United-States,rejected
male,32,Some-college,40,United-States,rejected
female,31,Some-college,35,United-States,rejected
male,21,HS-grad,40,United-States,rejected
male,38,Some-college,60,United-States,rejected
male,31,Assoc-acdm,20,United-States,rejected
female,43,Doctorate,70,United-States,approved
male,49,Prof-school,35,United-States,approved
male,50,1st-4th,40,United-States,rejected
male,33,HS-grad,50,United-States,rejected
male,31,HS-grad,40,United-States,rejected
male,20,HS-grad,20,United-States,rejected
male,28,Some-college,40,United-States,rejected
female,67,HS-grad,16,United-States,rejected
male,29,HS-grad,48,United-States,rejected
male,49,Some-college,45,United-States,approved
male,45,Bachelors,50,United-States,rejected
female,21,Some-college,24,United-States,rejected
male,52,Masters,40,United-States,approved
male,47,Prof-school,60,United-States,approved
male,36,HS-grad,55,United-States,rejected
male,30,Some-college,40,United-States,rejected
female,28,Some-college,40,United-States,rejected
female,48,HS-grad,40,United-States,rejected
female,60,HS-grad,20,United-States,rejected
male,53,9th,40,United-States,rejected
male,38,Bachelors,60,United-States,rejected
male,46,Some-college,40,United-States,rejected
male,39,HS-grad,40,United-States,approved
male,38,Bachelors,45,United-States,approved
female,31,HS-grad,38,United-States,rejected
male,28,11th,40,United-States,rejected
male,53,Bachelors,55,United-States,approved
female,21,Some-college,40,United-States,rejected
female,56,11th,40,United-States,rejected
female,52,HS-grad,40,United-States,rejected
female,63,HS-grad,40,United-States,rejected
male,46,Bachelors,40,United-States,approved
female,22,10th,35,United-States,rejected
female,21,Some-college,40,United-States,rejected
female,57,HS-grad,40,United-States,rejected
male,24,HS-grad,40,United-States,rejected
male,51,Bachelors,55,United-States,rejected
male,53,Some-college,72,United-States,rejected
male,53,Assoc-acdm,40,United-States,rejected
male,33,Assoc-voc,65,United-States,rejected
female,68,Some-college,40,United-States,rejected
male,45,Assoc-acdm,66,Yugoslavia,rejected
female,38,Bachelors,50,United-States,approved
male,41,Assoc-voc,60,United-States,rejected
male,33,Masters,20,United-States,rejected
female,53,Bachelors,54,United-States,rejected
male,24,Bachelors,35,United-States,rejected
male,44,Some-college,60,United-States,approved
male,49,HS-grad,40,United-States,rejected
male,52,HS-grad,40,United-States,approved
male,20,HS-grad,40,United-States,rejected
male,33,Assoc-voc,55,United-States,rejected
female,52,HS-grad,38,United-States,rejected
female,61,7th-8th,21,United-States,rejected
male,38,HS-grad,40,United-States,rejected
male,54,HS-grad,40,United-States,approved
male,43,Prof-school,50,India,approved
female,42,Bachelors,40,United-States,rejected
male,54,HS-grad,40,United-States,approved
male,24,7th-8th,40,United-States,rejected
female,31,HS-grad,40,United-States,approved
female,34,Bachelors,40,United-States,rejected
male,36,Masters,50,United-States,approved
male,59,10th,45,United-States,approved
female,49,Bachelors,50,France,rejected
female,76,7th-8th,12,United-States,rejected
male,39,Bachelors,60,United-States,approved
female,47,Some-college,60,United-States,rejected
male,28,Bachelors,50,United-States,rejected
male,47,Some-college,80,United-States,rejected
male,29,Some-college,40,United-States,rejected
male,58,Bachelors,40,United-States,rejected
male,42,HS-grad,40,United-States,rejected
female,34,HS-grad,50,United-States,rejected
female,37,Assoc-acdm,40,United-States,rejected
male,38,11th,48,United-States,approved
male,28,Assoc-voc,40,United-States,rejected
male,27,HS-grad,20,United-States,rejected
male,48,Masters,45,United-States,approved
male,44,HS-grad,40,United-States,rejected
male,57,HS-grad,30,United-States,approved
male,27,11th,40,United-States,rejected
male,49,Masters,40,United-States,approved
female,28,HS-grad,25,United-States,rejected
female,52,Masters,40,United-States,rejected
