gender,age,city,education_level,monthly_income,credit_score,loan_approved
female,63,Islamabad,Bachelors,52006,614,rejected
male,26,Karachi,Matric,22728,513,rejected
female,45,Quetta,Bachelors,49697,746,rejected
female,34,Karachi,Masters,46213,504,approved
male,37,Karachi,Intermediate,19866,716,rejected
female,58,Quetta,Bachelors,74123,787,approved
male,40,Karachi,Bachelors,30078,724,approved
male,56,Karachi,Masters,61715,773,rejected
female,62,Islamabad,Bachelors,72335,396,rejected
female,43,Lahore,Masters,60845,634,approved
female,34,Karachi,Bachelors,25501,730,rejected
female,30,Lahore,Bachelors,74720,833,approved
male,53,Lahore,Bachelors,35651,522,rejected
female,23,Lahore,PhD,15109,781,rejected
male,28,Lahore,Masters,27050,586,rejected
female,25,Karachi,Masters,48147,507,rejected
male,61,Karachi,Matric,15000,661,rejected
female,65,Quetta,Matric,63413,552,approved
male,28,Islamabad,Intermediate,94183,696,rejected
female,30,Lahore,Matric,28828,629,approved
female,52,Karachi,Bachelors,62325,726,rejected
male,61,Karachi,Bachelors,51076,658,approved
male,50,Karachi,Matric,123569,492,approved
male,50,Islamabad,PhD,28089,368,rejected
female,42,Quetta,Matric,70685,618,rejected
female,44,Karachi,Intermediate,45784,476,rejected
male,27,Islamabad,Intermediate,33196,752,approved
male,63,Lahore,Intermediate,44372,590,rejected
male,45,Islamabad,Intermediate,22875,850,rejected
male,63,Karachi,Intermediate,41960,508,approved
female,52,Lahore,PhD,25289,648,rejected
female,54,Lahore,Intermediate,43113,704,rejected
male,49,Lahore,Intermediate,82306,492,rejected
male,36,Karachi,Masters,51085,513,approved
female,49,Karachi,Intermediate,43537,800,rejected
male,37,Lahore,Bachelors,42661,591,approved
male,31,Karachi,Masters,24628,503,rejected
male,49,Peshawar,PhD,46305,551,approved
male,41,Quetta,Masters,71218,673,rejected
female,29,Multan,Bachelors,66627,689,rejected
male,39,Lahore,Matric,32126,812,approved
male,52,Islamabad,Matric,55506,686,approved
male,47,Lahore,Bachelors,56319,703,rejected
female,53,Islamabad,Intermediate,51188,696,approved
female,43,Lahore,Bachelors,20579,622,rejected
male,62,Lahore,Masters,50683,496,approved
female,50,Lahore,Intermediate,97955,485,approved
female,51,Karachi,Masters,28324,699,approved
male,44,Karachi,Bachelors,48456,423,approved
male,65,Karachi,PhD,55895,614,rejected
female,55,Karachi,Matric,39176,580,approved
male,49,Lahore,Masters,41148,673,approved
female,24,Lahore,Bachelors,42018,514,approved
female,49,Lahore,Matric,94741,524,rejected
female,44,Karachi,Masters,61695,504,approved
male,32,Karachi,Intermediate,60333,613,rejected
male,52,Lahore,Matric,17449,729,rejected
female,64,Quetta,PhD,73798,541,rejected
female,32,Multan,Bachelors,22280,676,approved
female,44,Karachi,PhD,23056,712,rejected
male,47,Multan,Masters,17415,552,rejected
male,56,Islamabad,Intermediate,22540,665,rejected
male,54,Peshawar,Masters,33086,696,approved
female,53,Islamabad,Bachelors,62460,604,approved
female,23,Peshawar,Matric,15000,468,rejected
male,61,Lahore,Masters,58600,596,rejected
male,50,Lahore,Matric,48444,691,approved
female,41,Peshawar,Intermediate,44937,573,rejected
male,24,Karachi,Intermediate,66631,671,rejected
male,41,Quetta,Masters,28220,732,rejected
male,26,Quetta,Bachelors,41175,413,rejected
male,55,Lahore,Matric,23435,552,approved
male,56,Lahore,Bachelors,17390,696,rejected
male,60,Multan,Matric,98971,776,approved
male,53,Lahore,Matric,81227,564,rejected
male,60,Karachi,Intermediate,66772,613,approved
male,53,Islamabad,Masters,36952,519,rejected
female,65,Islamabad,Bachelors,34260,730,approved
male,51,Lahore,Bachelors,67183,597,approved
female,23,Islamabad,Masters,28298,530,approved
male,60,Quetta,Masters,23807,553,rejected
male,32,Karachi,Bachelors,58674,722,rejected
male,51,Lahore,Intermediate,59941,508,rejected
male,39,Multan,Bachelors,52948,403,rejected
male,57,Islamabad,Intermediate,36217,599,approved
male,51,Lahore,Masters,34700,530,approved
male,58,Lahore,Matric,31682,565,rejected
male,56,Quetta,Intermediate,71631,719,rejected
male,39,Islamabad,Masters,19132,642,rejected
female,23,Quetta,Intermediate,160617,527,rejected
female,21,Karachi,Bachelors,49754,521,approved
male,38,Lahore,Matric,25936,588,approved
male,42,Multan,Bachelors,89823,752,rejected
male,26,Karachi,Matric,43677,610,rejected
female,37,Islamabad,Bachelors,16039,709,rejected
female,40,Multan,Bachelors,30728,716,rejected
male,65,Islamabad,Bachelors,57756,635,rejected
female,26,Islamabad,Bachelors,41894,694,rejected
male,55,Lahore,Intermediate,56002,742,approved
female,26,Peshawar,Bachelors,15220,509,rejected
male,37,Peshawar,Masters,62192,566,rejected
female,25,Quetta,Bachelors,35953,650,rejected
female,44,Quetta,Intermediate,126169,512,rejected
male,32,Quetta,Intermediate,22834,514,rejected
male,55,Karachi,Intermediate,31430,475,approved
male,28,Lahore,Bachelors,66573,677,approved
female,49,Islamabad,Masters,15000,572,approved
female,24,Lahore,PhD,31787,662,rejected
female,36,Karachi,Matric,72678,560,rejected
female,32,Islamabad,Bachelors,53579,654,rejected
male,47,Karachi,Intermediate,27730,566,approved
male,30,Peshawar,Masters,60411,570,approved
male,62,Lahore,Bachelors,42650,636,approved
female,23,Peshawar,Intermediate,90799,591,rejected
male,21,Lahore,Intermediate,86504,626,approved
female,46,Quetta,Bachelors,94010,398,rejected
male,52,Karachi,Masters,82825,591,approved
male,35,Multan,Matric,59425,681,approved
male,57,Peshawar,Bachelors,71874,538,rejected
female,52,Karachi,Masters,41117,805,rejected
female,24,Islamabad,Masters,17481,602,approved
female,25,Multan,Matric,54557,623,rejected
male,52,Lahore,Bachelors,46002,598,approved
male,65,Islamabad,Masters,19841,498,approved
female,43,Karachi,Intermediate,42812,341,rejected
female,26,Islamabad,Masters,43322,633,approved
male,48,Islamabad,Intermediate,140655,647,approved
female,38,Lahore,Matric,166718,833,approved
male,34,Islamabad,Masters,81070,610,approved
male,36,Islamabad,Masters,75189,498,rejected
female,26,Islamabad,PhD,15000,729,rejected
female,46,Quetta,Intermediate,69057,543,rejected
male,32,Islamabad,Bachelors,18732,667,approved
male,61,Lahore,Intermediate,41806,469,rejected
male,38,Lahore,Matric,47690,573,approved
female,59,Islamabad,Intermediate,43815,616,rejected
female,36,Islamabad,Intermediate,43443,647,approved
male,47,Karachi,Masters,41840,731,rejected
male,60,Lahore,Matric,37335,551,rejected
male,42,Karachi,Masters,71369,741,approved
female,65,Lahore,Intermediate,36296,489,approved
male,46,Karachi,PhD,29034,693,approved
female,34,Karachi,Intermediate,77692,775,approved
female,36,Karachi,Intermediate,47011,522,rejected
female,65,Karachi,Matric,103975,662,approved
female,31,Islamabad,Matric,45013,595,approved
male,53,Multan,Bachelors,76856,597,rejected
female,30,Karachi,Matric,20667,699,rejected
male,40,Karachi,Masters,56080,608,approved
female,49,Karachi,Intermediate,116962,594,rejected
male,32,Islamabad,Intermediate,47290,662,approved
female,46,Lahore,Bachelors,28832,485,approved
female,25,Islamabad,Masters,57691,720,rejected
male,61,Karachi,Intermediate,44421,666,approved
male,32,Peshawar,Masters,36767,666,approved
male,32,Karachi,Matric,44082,526,rejected
female,62,Quetta,Intermediate,26308,572,rejected
female,21,Karachi,Intermediate,43708,561,rejected
female,49,Karachi,Matric,15000,599,rejected
male,50,Islamabad,Masters,53549,549,rejected
female,55,Peshawar,Matric,82195,585,rejected
female,40,Peshawar,Matric,34047,791,approved
female,65,Karachi,Masters,68877,743,approved
male,43,Islamabad,Bachelors,26435,672,approved
female,53,Quetta,Bachelors,19729,670,approved
female,36,Lahore,Intermediate,32846,611,rejected
female,45,Karachi,Bachelors,55530,655,rejected
male,21,Peshawar,Masters,19515,583,rejected
female,46,Lahore,Bachelors,30007,504,rejected
female,52,Multan,Masters,68012,540,approved
male,48,Lahore,Bachelors,23251,746,approved
female,37,Lahore,Bachelors,71072,815,rejected
male,26,Multan,Matric,51804,506,approved
female,28,Quetta,Bachelors,23275,769,approved
male,40,Lahore,Masters,57033,557,rejected
female,30,Quetta,Bachelors,48689,533,approved
female,43,Quetta,Intermediate,23963,730,rejected
female,63,Peshawar,Intermediate,65579,540,rejected
female,36,Karachi,Matric,53960,349,rejected
female,29,Karachi,Masters,46816,673,rejected
male,58,Lahore,Intermediate,97475,539,approved
female,26,Islamabad,Bachelors,25093,535,rejected
male,41,Karachi,Bachelors,111341,727,approved
female,36,Lahore,Matric,47995,553,rejected
female,28,Lahore,Matric,15000,551,rejected
male,44,Lahore,Masters,34514,623,rejected
male,25,Karachi,PhD,68188,596,approved
male,57,Lahore,Intermediate,93486,597,approved
male,21,Lahore,Bachelors,43628,576,rejected
female,56,Peshawar,Masters,72030,622,rejected
male,64,Peshawar,Intermediate,101614,789,approved
male,40,Karachi,Bachelors,60567,609,rejected
male,58,Quetta,PhD,94100,449,approved
female,22,Lahore,Intermediate,113199,625,approved
female,40,Lahore,Bachelors,32104,850,rejected
male,35,Peshawar,Bachelors,79021,662,approved
male,46,Lahore,Bachelors,48039,626,approved
female,65,Peshawar,Intermediate,49611,698,rejected
male,27,Lahore,Bachelors,45593,687,approved
male,28,Lahore,Masters,37300,605,rejected
male,41,Lahore,Masters,15000,646,rejected
female,56,Multan,Intermediate,50449,564,rejected
female,29,Lahore,Bachelors,76636,735,rejected
male,25,Lahore,Bachelors,116191,791,approved
female,48,Peshawar,Intermediate,15000,786,approved
male,30,Lahore,Bachelors,32706,512,approved
male,29,Karachi,Bachelors,99600,686,rejected
female,22,Quetta,Masters,41677,400,rejected
male,35,Lahore,Masters,35470,619,approved
male,58,Quetta,PhD,20227,601,rejected
male,35,Islamabad,PhD,44079,682,approved
male,65,Karachi,Bachelors,79462,617,approved
male,33,Peshawar,Masters,27038,747,approved
male,42,Quetta,Intermediate,23122,788,approved
male,58,Multan,Matric,21288,594,rejected
female,58,Lahore,Intermediate,23661,788,rejected
female,32,Multan,Bachelors,137300,528,rejected
male,32,Multan,PhD,15000,530,rejected
female,52,Lahore,Masters,32091,495,approved
female,61,Multan,Intermediate,77748,801,approved
male,47,Quetta,Masters,53336,576,rejected
female,62,Multan,Intermediate,49480,640,rejected
female,31,Multan,Bachelors,64021,667,rejected
male,48,Lahore,Matric,29499,568,rejected
male,39,Karachi,Matric,44451,469,rejected
male,21,Karachi,Intermediate,72941,627,approved
male,26,Karachi,Matric,96334,642,rejected
male,62,Islamabad,Intermediate,48989,550,approved
male,65,Islamabad,Matric,40443,636,rejected
female,56,Lahore,Intermediate,56228,530,rejected
male,40,Lahore,Masters,81354,766,approved
female,28,Quetta,Bachelors,30010,515,rejected
male,61,Lahore,Bachelors,38527,635,rejected
female,38,Islamabad,Masters,15000,580,approved
male,57,Islamabad,Masters,184332,529,approved
male,39,Peshawar,Masters,71899,559,rejected
female,64,Multan,Matric,32058,807,approved
male,52,Peshawar,Bachelors,37006,643,rejected
female,26,Lahore,Intermediate,107689,533,rejected
male,31,Lahore,Masters,45329,419,rejected
female,32,Lahore,Masters,49943,597,rejected
male,61,Quetta,Bachelors,32402,380,rejected
female,43,Lahore,Masters,88043,598,approved
female,34,Peshawar,Bachelors,75290,603,approved
female,62,Lahore,Masters,30961,452,rejected
male,45,Peshawar,Bachelors,30517,565,rejected
male,63,Quetta,Masters,60309,602,rejected
male,38,Islamabad,Masters,33916,769,rejected
male,30,Islamabad,Intermediate,15367,657,approved
male,22,Islamabad,PhD,33780,525,approved
male,57,Peshawar,Intermediate,81187,547,rejected
male,40,Peshawar,Masters,19972,610,rejected
male,64,Peshawar,Bachelors,30840,692,rejected
male,58,Karachi,Masters,51224,412,approved
female,53,Lahore,Bachelors,56964,500,rejected
male,57,Peshawar,PhD,24265,579,rejected
female,41,Islamabad,Matric,34888,657,rejected
female,26,Lahore,Bachelors,47554,768,approved
female,21,Peshawar,Masters,57087,621,approved
female,40,Lahore,Intermediate,63389,658,approved
female,59,Islamabad,Bachelors,76715,736,rejected
male,46,Lahore,Intermediate,15000,733,rejected
male,61,Karachi,Bachelors,15000,730,rejected
female,22,Lahore,Matric,48860,617,approved
female,21,Karachi,Bachelors,73008,577,rejected
male,60,Lahore,Matric,20835,644,rejected
male,47,Karachi,Matric,53649,694,rejected
male,21,Lahore,Matric,21241,376,rejected
male,27,Peshawar,Bachelors,49970,629,rejected
female,39,Karachi,Bachelors,47258,652,approved
male,62,Lahore,Intermediate,48278,451,rejected
male,42,Lahore,Bachelors,43854,665,rejected
male,65,Multan,PhD,61136,482,rejected
female,29,Karachi,Bachelors,16188,508,rejected
female,57,Lahore,PhD,127955,636,approved
female,51,Karachi,Bachelors,43785,492,approved
female,31,Islamabad,Bachelors,53599,514,approved
male,53,Lahore,Bachelors,45320,532,rejected
female,49,Lahore,Bachelors,38236,619,rejected
male,56,Lahore,Matric,65246,580,approved
female,42,Karachi,Matric,30893,732,rejected
female,49,Lahore,Masters,30800,569,approved
female,65,Lahore,Masters,53273,394,approved
male,28,Quetta,Intermediate,49997,518,rejected
female,64,Islamabad,Masters,49410,573,rejected
female,24,Islamabad,Bachelors,62976,605,rejected
male,29,Lahore,Bachelors,65485,405,rejected
male,59,Quetta,Masters,34893,728,approved
male,65,Peshawar,Bachelors,114535,556,approved
male,34,Islamabad,Intermediate,40563,764,rejected
male,65,Islamabad,Masters,90593,603,approved
female,47,Islamabad,Masters,57382,606,approved
male,24,Islamabad,Intermediate,88300,603,rejected
female,39,Lahore,Bachelors,41642,694,rejected
male,62,Islamabad,Intermediate,96189,520,approved
female,45,Karachi,PhD,59298,619,rejected
female,35,Quetta,Masters,70894,490,rejected
male,64,Lahore,PhD,85233,365,approved
male,37,Lahore,Bachelors,33433,605,approved
male,24,Multan,Bachelors,97637,564,approved
female,54,Lahore,Bachelors,46393,689,approved
male,44,Karachi,PhD,66998,659,approved
female,62,Lahore,Bachelors,48980,515,rejected
female,41,Karachi,Masters,21524,616,rejected
female,53,Peshawar,Bachelors,15000,662,rejected
female,21,Islamabad,Intermediate,68448,601,approved
female,48,Islamabad,PhD,87612,445,approved
male,37,Islamabad,Bachelors,31270,643,approved
female,48,Karachi,Intermediate,54275,566,approved
female,45,Karachi,Bachelors,51543,685,rejected
female,61,Lahore,Bachelors,155544,607,rejected
female,56,Lahore,Matric,61559,580,approved
female,43,Lahore,Masters,27739,619,rejected
female,24,Peshawar,PhD,59034,661,rejected
male,62,Lahore,Intermediate,16960,506,rejected
male,63,Karachi,Bachelors,60760,577,approved
male,35,Multan,Bachelors,35136,717,rejected
male,40,Karachi,Matric,70605,539,approved
female,55,Lahore,Masters,68069,772,approved
female,58,Karachi,Bachelors,58378,450,rejected
male,58,Multan,Intermediate,50690,526,rejected
female,60,Multan,Masters,24012,502,rejected
female,23,Lahore,Bachelors,16130,580,rejected
male,51,Quetta,Masters,15000,638,rejected
male,37,Islamabad,Bachelors,43108,779,approved
female,25,Islamabad,Intermediate,41175,506,rejected
male,29,Karachi,Intermediate,55423,654,approved
female,63,Lahore,Masters,82428,667,approved
female,22,Lahore,Matric,63822,629,approved
male,32,Islamabad,Bachelors,130810,603,approved
female,34,Karachi,PhD,109865,671,approved
female,37,Lahore,Bachelors,16847,632,rejected
female,64,Karachi,Matric,19839,599,rejected
male,28,Lahore,Bachelors,15000,574,rejected
female,65,Islamabad,Intermediate,101029,524,rejected
female,65,Islamabad,Bachelors,33394,711,rejected
female,37,Lahore,Masters,97510,598,approved
female,41,Karachi,Matric,47265,628,rejected
female,64,Karachi,Intermediate,59295,744,approved
female,57,Karachi,Masters,85371,735,approved
female,31,Lahore,Bachelors,96642,480,approved
male,61,Lahore,Matric,24450,520,rejected
male,35,Karachi,Bachelors,83211,501,approved
female,24,Quetta,Masters,69886,705,rejected
male,23,Multan,Bachelors,78619,577,rejected
female,26,Quetta,Masters,41193,516,approved
male,56,Quetta,Intermediate,65510,582,approved
male,27,Islamabad,Bachelors,40136,564,rejected
male,55,Peshawar,Bachelors,77914,462,rejected
female,50,Multan,Masters,122531,615,rejected
female,47,Quetta,Bachelors,15000,552,rejected
female,25,Islamabad,Intermediate,38062,563,rejected
female,33,Karachi,Intermediate,85301,638,approved
female,30,Multan,Matric,17948,608,rejected
male,41,Karachi,PhD,142152,423,approved
female,53,Karachi,Intermediate,62005,655,rejected
male,46,Peshawar,Masters,50010,533,approved
female,45,Islamabad,Intermediate,66304,550,rejected
female,44,Lahore,Bachelors,46664,553,rejected
female,57,Multan,Masters,82531,435,rejected
male,21,Lahore,Bachelors,55669,789,rejected
male,56,Peshawar,Matric,20110,636,rejected
male,42,Karachi,Intermediate,59877,563,approved
female,59,Lahore,Bachelors,71102,706,rejected
male,49,Peshawar,Intermediate,35909,528,rejected
male,61,Islamabad,Bachelors,40429,668,rejected
female,59,Islamabad,Intermediate,48912,533,rejected
male,32,Peshawar,Matric,31824,614,approved
male,27,Lahore,Masters,58903,484,approved
male,30,Lahore,PhD,44197,723,rejected
male,29,Lahore,Masters,15000,677,rejected
female,55,Quetta,Bachelors,23541,552,rejected
female,57,Karachi,Bachelors,57369,549,approved
male,47,Karachi,Intermediate,15000,673,rejected
male,52,Quetta,Bachelors,15000,545,approved
male,47,Peshawar,Bachelors,33030,690,approved
male,61,Lahore,Masters,151931,471,approved
male,55,Peshawar,Bachelors,36150,561,rejected
male,22,Lahore,PhD,15000,610,rejected
male,26,Lahore,Bachelors,40292,671,rejected
female,50,Multan,Matric,18139,668,rejected
female,37,Peshawar,Masters,22336,698,rejected
female,23,Lahore,Masters,19599,646,rejected
